model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
2000 updates took 270 s
model is updating
8000 updates took 1093 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	Phi[1]	-0.3766	0.2542	-0.8826	-0.3764	0.1342	8000
	Phi[2]	-0.1519	0.2423	-0.6209	-0.1616	0.3455	8000
	Phi[3]	0.1539	0.376	-0.6008	0.1554	0.8843	8000
	Phi[4]	0.5213	0.5009	-0.4702	0.522	1.483	8000
	Phi[5]	0.6929	0.4959	-0.2728	0.6901	1.669	8000
	Phi[6]	0.06592	0.3701	-0.6443	0.0627	0.7925	8000
	Phi[7]	0.3396	0.4469	-0.5104	0.3346	1.216	8000
	Phi[8]	-0.06094	0.5366	-1.106	-0.0684	0.9836	8000
	Phi[9]	-0.03621	0.2652	-0.5514	-0.03818	0.5007	8000
	Phi[10]	-0.2021	0.3963	-0.977	-0.2011	0.575	8000
	Phi[11]	-0.1975	0.4504	-1.077	-0.202	0.6765	8000
	Phi[12]	-0.0214	0.4427	-0.8715	-0.02385	0.8468	8000
	Phi[13]	0.006707	0.3663	-0.7104	0.002907	0.7382	8000
	Phi[14]	-0.1829	0.4198	-1.008	-0.185	0.6435	8000
	Phi[15]	0.212	0.4907	-0.7247	0.2066	1.17	8000
	Phi[16]	-0.08158	0.2445	-0.5622	-0.07946	0.4139	8000
	Phi[17]	0.1623	0.3629	-0.5603	0.1595	0.8763	8000
	Phi[18]	-0.09851	0.3674	-0.8191	-0.09902	0.603	8000
	Phi[19]	0.1847	0.3805	-0.5552	0.1887	0.9461	8000
	Phi[20]	0.1092	0.4903	-0.8701	0.1148	1.054	8000
	Phi[21]	-0.1476	0.3897	-0.9105	-0.146	0.61	8000
	Phi[22]	0.1024	0.4504	-0.7733	0.104	0.9837	8000
	Phi[23]	0.03354	0.3548	-0.6571	0.03509	0.7079	8000
	Phi[24]	0.0629	0.4041	-0.7162	0.05976	0.8669	8000
	Phi[25]	0.001431	0.2501	-0.4907	-0.001487	0.5111	8000
	Phi[26]	0.1148	0.4053	-0.6861	0.1204	0.9178	8000
	Phi[27]	-0.01613	0.4607	-0.9185	-0.01595	0.8716	8000
	Phi[28]	0.05881	0.3362	-0.5895	0.0572	0.7194	8000
	Phi[29]	-0.07175	0.5642	-1.219	-0.07157	1.021	8000
	Phi[30]	-0.09651	0.416	-0.9223	-0.1001	0.7174	8000
	Phi[31]	-0.1217	0.2451	-0.5934	-0.1305	0.3991	8000
	Phi[32]	0.3297	0.3988	-0.4535	0.33	1.098	8000
	Phi[33]	0.3785	0.3918	-0.3805	0.3806	1.151	8000
	Phi[34]	0.1617	0.4141	-0.6481	0.1607	0.9824	8000
	Phi[35]	0.1727	0.4075	-0.6178	0.1687	0.9603	8000
	Phi[36]	0.3129	0.37	-0.418	0.3193	1.031	8000
	Phi[37]	0.3271	0.3984	-0.4548	0.3221	1.115	8000
	Phi[38]	-0.01039	0.2673	-0.4999	-0.02307	0.5663	8000
	Phi[39]	0.06305	0.4625	-0.8511	0.06742	0.9573	8000
	Phi[40]	-0.1513	0.3597	-0.8455	-0.1521	0.5568	8000
	Phi[41]	-0.321	0.497	-1.292	-0.3303	0.6589	8000
	Phi[42]	-0.2996	0.3942	-1.079	-0.3006	0.4716	8000
	Phi[43]	-0.2131	0.4224	-1.037	-0.2118	0.6267	8000
	Phi[44]	-0.347	0.491	-1.317	-0.3405	0.6007	8000
	Phi[45]	-0.2313	0.2436	-0.718	-0.2303	0.2533	8000
	Phi[46]	0.3029	0.5505	-0.7746	0.3071	1.369	8000
	Phi[47]	-0.4118	0.4238	-1.239	-0.4144	0.4222	8000
	Phi[48]	-0.1071	0.419	-0.9294	-0.1044	0.7066	8000
	Phi[49]	0.02315	0.3476	-0.6497	0.02009	0.7008	8000
	Phi[50]	0.05156	0.6404	-1.184	0.05569	1.31	8000
	Phi[51]	-0.483	0.4175	-1.299	-0.4846	0.3203	8000
	Phi[52]	-0.1639	0.2636	-0.6976	-0.1586	0.346	8000
	Phi[53]	0.2194	0.3873	-0.5477	0.2166	1.001	8000
	Phi[54]	0.119	0.4357	-0.7399	0.1225	0.9758	8000
	Phi[55]	0.06846	0.4212	-0.7499	0.0611	0.8912	8000
	Phi[56]	-0.1604	0.4145	-0.9496	-0.1641	0.6551	8000
	Phi[57]	-0.1904	0.4179	-0.9916	-0.1904	0.6257	8000
	Phi[58]	-0.2488	0.4497	-1.122	-0.2546	0.618	8000
	Phi[59]	-0.01538	0.4128	-0.8216	-0.01759	0.8059	8000
	Phi[60]	-0.1343	0.2565	-0.6151	-0.139	0.4048	8000
	beta[1]	-0.5513	0.1187	-0.7808	-0.553	-0.3194	8000
	beta[2]	0.2555	0.04128	0.1753	0.2548	0.3364	8000
	beta[3]	0.4808	0.06862	0.3459	0.4807	0.6134	8000
	beta[4]	0.001919	0.02647	-0.05115	0.00197	0.05535	8000
	beta[5]	-0.05516	0.03259	-0.12	-0.05505	0.009185	8000
	beta[6]	0.01213	0.02751	-0.04334	0.0121	0.06762	8000
	beta[7]	-0.003201	0.003047	-0.01732	-0.003283	0.01121	8000
	beta[8]	0.001424	7.716E-4	-0.01077	0.001465	0.0134	8000
	deviance	17190.0	8.298	17180.0	17190.0	17210.0	8000
Deviance information
	Dbar	Dhat	DIC	pD	
Stunting	17190.0	17360.0	17020.0	-167.7
total	17190.0	17360.0	17020.0	-167.7
History
